Model Name,Hyperparameter,Train Size,Validation Size,TP,FP,TN,FN,Accuracy,Precision,Recall,Specificity,F1-Score,MCC,AUROC,Hinge Loss
SVM,"C=0.01, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=1",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=10",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=100",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=0.01, kernel='rbf', gamma=1000",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=1, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=1, kernel='rbf', gamma=1",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=1, kernel='rbf', gamma=10",1306,326,38,21,843,730,0.5398,0.671,0.0494,0.0494,0.09140000000000001,0.07200000000000001,0.0996,0.9203354533686048
SVM,"C=1, kernel='rbf', gamma=100",1306,326,82,61,803,686,0.5424,0.6012000000000001,0.10659999999999999,0.10659999999999999,0.17960000000000004,0.0708,0.1506,0.9154274779084821
SVM,"C=1, kernel='rbf', gamma=1000",1306,326,296,303,561,472,0.5248,0.49440000000000006,0.38560000000000005,0.38560000000000005,0.4324,0.036,0.3982,0.9497420311063582
SVM,"C=10, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=10, kernel='rbf', gamma=1",1306,326,31,18,846,737,0.5374000000000001,0.6921999999999999,0.0402,0.0402,0.075,0.064,0.09140000000000001,0.9252434288287275
SVM,"C=10, kernel='rbf', gamma=10",1306,326,83,48,816,685,0.5506,0.6508,0.1082,0.1082,0.18359999999999999,0.1006,0.1516,0.8982533160728691
SVM,"C=10, kernel='rbf', gamma=100",1306,326,311,268,596,457,0.556,0.5384,0.40499999999999997,0.40499999999999997,0.46180000000000004,0.09919999999999998,0.4156000000000001,0.888444869702257
SVM,"C=10, kernel='rbf', gamma=1000",1306,326,375,395,469,393,0.5172,0.48740000000000006,0.48840000000000006,0.48840000000000006,0.48719999999999997,0.0312,0.4896,0.9656666854280408
SVM,"C=100, kernel='rbf', gamma=0.01",1306,326,0,0,864,768,0.5296000000000001,0.0,0.0,0.0,0.0,0.0,0.055600000000000004,0.9411755877000431
SVM,"C=100, kernel='rbf', gamma=1",1306,326,89,52,812,679,0.5518000000000001,0.6469999999999999,0.11579999999999999,0.11579999999999999,0.19460000000000002,0.1028,0.15860000000000002,0.8958068328924412
SVM,"C=100, kernel='rbf', gamma=10",1306,326,313,254,610,455,0.5656000000000001,0.5523999999999999,0.4074,0.4074,0.4686,0.1192,0.41800000000000004,0.868861747434382
SVM,"C=100, kernel='rbf', gamma=100",1306,326,380,356,508,388,0.544,0.5168,0.495,0.495,0.5050000000000001,0.08320000000000001,0.49539999999999995,0.9117389917637568
SVM,"C=100, kernel='rbf', gamma=1000",1306,326,359,398,466,409,0.5054000000000001,0.47379999999999994,0.4673999999999999,0.4673999999999999,0.47000000000000003,0.0066,0.471,0.9889645597643572
SVM,"C=1000, kernel='rbf', gamma=0.01",1306,326,31,18,846,737,0.5374000000000001,0.5648,0.0402,0.0402,0.0744,0.0598,0.09140000000000001,0.9252471811035441
SVM,"C=1000, kernel='rbf', gamma=1",1306,326,254,196,668,514,0.5650000000000001,0.5694,0.3308,0.3308,0.4166,0.11840000000000002,0.3494,0.8700512185512468
SVM,"C=1000, kernel='rbf', gamma=10",1306,326,370,306,558,398,0.5683999999999999,0.5478,0.48180000000000006,0.48180000000000006,0.5126000000000001,0.12940000000000002,0.4838,0.8626779985366128
SVM,"C=1000, kernel='rbf', gamma=100",1306,326,405,354,510,363,0.5608,0.534,0.527,0.527,0.5304,0.11760000000000001,0.5244,0.8786964597287105
SVM,"C=1000, kernel='rbf', gamma=1000",1306,326,362,398,466,406,0.5072,0.4755999999999999,0.47140000000000004,0.47140000000000004,0.4728,0.0106,0.4746,0.985283578169265
