Model Name,Hyperparameter,Train Size,Validation Size,TP,FP,TN,FN,Accuracy,Precision,Recall,Specificity,F1-Score,MCC,AUROC,Hinge Loss
KNN,"k=3, weights='uniform', metric='euclidean",1306,326,391,423,441,377,0.5098,0.4806,0.5092,0.5092,0.49420000000000003,0.019399999999999997,0.508,0.9803868595335923
KNN,"k=3, weights='uniform', metric='manhattan",1306,326,411,419,445,357,0.5244000000000001,0.49559999999999993,0.5347999999999999,0.5347999999999999,0.5142,0.0502,0.5311999999999999,0.9509915386202886
KNN,"k=3, weights='distance', metric='euclidean",1306,326,390,423,441,378,0.5090000000000001,0.48,0.5077999999999999,0.5077999999999999,0.49339999999999995,0.018,0.507,0.9816138533986228
KNN,"k=3, weights='distance', metric='manhattan",1306,326,410,420,444,358,0.5232,0.4944,0.5336000000000001,0.5336000000000001,0.5130000000000001,0.0476,0.53,0.95344552635035
KNN,"k=5, weights='uniform', metric='euclidean",1306,326,401,418,446,367,0.5189999999999999,0.4896,0.5218,0.5218,0.5054000000000001,0.038400000000000004,0.5196000000000001,0.9620269788559315
KNN,"k=5, weights='uniform', metric='manhattan",1306,326,407,407,457,361,0.5294000000000001,0.4997999999999999,0.5296000000000001,0.5296000000000001,0.5146000000000001,0.0588,0.5268,0.9411868445244931
KNN,"k=5, weights='distance', metric='euclidean",1306,326,400,418,446,368,0.5182,0.48900000000000005,0.5204000000000001,0.5204000000000001,0.5044,0.0372,0.5184000000000001,0.9632539727209621
KNN,"k=5, weights='distance', metric='manhattan",1306,326,406,407,457,362,0.5288,0.4991999999999999,0.5284000000000001,0.5284000000000001,0.5136000000000001,0.05739999999999999,0.5256000000000001,0.9424138383895236
KNN,"k=7, weights='uniform', metric='euclidean",1306,326,400,414,450,368,0.521,0.492,0.5206000000000001,0.5206000000000001,0.5056,0.041600000000000005,0.5184,0.9584210427571715
KNN,"k=7, weights='uniform', metric='manhattan",1306,326,409,394,470,359,0.5384,0.5096,0.5326000000000001,0.5326000000000001,0.5206000000000001,0.0766,0.5288,0.9227819365490328
KNN,"k=7, weights='distance', metric='euclidean",1306,326,400,414,450,368,0.5210000000000001,0.492,0.5206000000000001,0.5206000000000001,0.5056,0.041600000000000005,0.5184000000000001,0.9584210427571715
KNN,"k=7, weights='distance', metric='manhattan",1306,326,406,395,469,362,0.5360000000000001,0.5069999999999999,0.5286000000000001,0.5286000000000001,0.5172000000000001,0.0716,0.5252000000000001,0.9276899120091556
KNN,"k=9, weights='uniform', metric='euclidean",1306,326,397,415,449,371,0.5184000000000001,0.4894,0.5168000000000001,0.5168000000000001,0.5024,0.0364,0.5152000000000001,0.9632727340950453
KNN,"k=9, weights='uniform', metric='manhattan",1306,326,395,397,467,373,0.528,0.49879999999999997,0.5142,0.5142,0.5062,0.05500000000000001,0.5126,0.9436520890790042
KNN,"k=9, weights='distance', metric='euclidean",1306,326,394,413,451,374,0.5178,0.4888,0.513,0.513,0.5004000000000001,0.035,0.5115999999999999,0.9644997279600759
KNN,"k=9, weights='distance', metric='manhattan",1306,326,395,398,466,373,0.5274,0.49820000000000003,0.514,0.514,0.5057999999999999,0.0538,0.5128,0.9448753306692182
KNN,"k=11, weights='uniform', metric='euclidean",1306,326,413,421,443,355,0.5246000000000001,0.4962000000000001,0.5376,0.5376,0.516,0.0504,0.5334,0.9510215568188214
KNN,"k=11, weights='uniform', metric='manhattan",1306,326,389,393,471,379,0.5268,0.49779999999999996,0.5064,0.5064,0.5016,0.0516,0.5058,0.9460948199846158
KNN,"k=11, weights='distance', metric='euclidean",1306,326,411,418,446,357,0.5252,0.4968,0.5349999999999999,0.5349999999999999,0.5149999999999999,0.0514,0.5312000000000001,0.9497908106789741
KNN,"k=11, weights='distance', metric='manhattan",1306,326,390,392,472,378,0.528,0.499,0.5076,0.5076,0.5027999999999999,0.0538,0.507,0.9436445845293709
KNN,"k=13, weights='uniform', metric='euclidean",1306,326,413,410,454,355,0.531,0.502,0.5376000000000001,0.5376000000000001,0.5192,0.06319999999999999,0.5334,0.9375171197538508
KNN,"k=13, weights='uniform', metric='manhattan",1306,326,376,384,480,392,0.5248,0.49539999999999995,0.4896,0.4896,0.492,0.0454,0.4908,0.9510102999943715
KNN,"k=13, weights='distance', metric='euclidean",1306,326,411,407,457,357,0.5316000000000001,0.5025999999999999,0.535,0.535,0.5182,0.0642,0.5309999999999999,0.9362976304384534
KNN,"k=13, weights='distance', metric='manhattan",1306,326,375,384,480,393,0.5242,0.4944,0.48819999999999997,0.48819999999999997,0.491,0.044,0.4896,0.9522410461342188
KNN,"k=15, weights='uniform', metric='euclidean",1306,326,405,420,444,363,0.5202,0.4912000000000001,0.5276,0.5276,0.5078,0.0416,0.5244,0.959554229751787
KNN,"k=15, weights='uniform', metric='manhattan",1306,326,373,376,488,395,0.5276,0.49759999999999993,0.4856,0.4856,0.4912000000000001,0.0504,0.48719999999999997,0.9448565692951352
KNN,"k=15, weights='distance', metric='euclidean",1306,326,404,417,447,364,0.5214,0.49260000000000004,0.5262,0.5262,0.5082,0.0434,0.5232,0.9571114988461755
KNN,"k=15, weights='distance', metric='manhattan",1306,326,372,377,487,396,0.5264,0.49660000000000004,0.48419999999999996,0.48419999999999996,0.49000000000000005,0.048,0.4862,0.947314309300013
